[2026-02-03T23:51:38.057+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-03T23:51:38.080+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-03T23:50:00+00:00 [queued]>
[2026-02-03T23:51:38.086+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-03T23:50:00+00:00 [queued]>
[2026-02-03T23:51:38.087+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-03T23:51:38.097+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-03 23:50:00+00:00
[2026-02-03T23:51:38.107+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-03T23:50:00+00:00', '--job-id', '426', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmplj_rqezy']
[2026-02-03T23:51:38.109+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=52) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-03T23:51:38.110+0000] {standard_task_runner.py:91} INFO - Job 426: Subtask download_minio
[2026-02-03T23:51:38.110+0000] {standard_task_runner.py:64} INFO - Started process 76 to run task
[2026-02-03T23:51:38.196+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-03T23:50:00+00:00 [running]> on host e6e1c513bfd4
[2026-02-03T23:51:38.259+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-03T23:50:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-03T23:50:00+00:00'
[2026-02-03T23:51:38.260+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-03T23:51:38.870+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770161712.json -> /tmp/minio_downloads/1770161712.json
[2026-02-03T23:51:38.880+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770161713.json -> /tmp/minio_downloads/1770161713.json
[2026-02-03T23:51:38.890+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770161714.json -> /tmp/minio_downloads/1770161714.json
[2026-02-03T23:51:38.898+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770161715.json -> /tmp/minio_downloads/1770161715.json
[2026-02-03T23:51:38.904+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770161716.json -> /tmp/minio_downloads/1770161716.json
[2026-02-03T23:51:38.911+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770161717.json -> /tmp/minio_downloads/1770161717.json
[2026-02-03T23:51:38.919+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770161718.json -> /tmp/minio_downloads/1770161718.json
[2026-02-03T23:51:38.925+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770161719.json -> /tmp/minio_downloads/1770161719.json
[2026-02-03T23:51:38.931+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770161720.json -> /tmp/minio_downloads/1770161720.json
[2026-02-03T23:51:38.939+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770161721.json -> /tmp/minio_downloads/1770161721.json
[2026-02-03T23:51:38.946+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770161722.json -> /tmp/minio_downloads/1770161722.json
[2026-02-03T23:51:38.952+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770161723.json -> /tmp/minio_downloads/1770161723.json
[2026-02-03T23:51:38.961+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770161724.json -> /tmp/minio_downloads/1770161724.json
[2026-02-03T23:51:38.967+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770161725.json -> /tmp/minio_downloads/1770161725.json
[2026-02-03T23:51:38.974+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770161726.json -> /tmp/minio_downloads/1770161726.json
[2026-02-03T23:51:38.980+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770161727.json -> /tmp/minio_downloads/1770161727.json
